,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
71,231,1155,244,318,52.3388585709497
72,227,1164,252,325,52.20316959867138
73,219,1173,264,336,52.98749594480532
74,212,1186,273,347,53.114569111817964
75,213,1203,279,358,52.674087724840184
76,212,1217,285,369,52.38427205328027
77,214,1230,291,374,52.72337661640215
78,212,1239,298,383,52.75367938349229
79,214,1247,304,392,52.622111253089784
80,208,1259,312,397,52.364287854143754
81,207,1267,321,406,53.320134152370265
82,203,1273,333,420,54.55004686131154
83,203,1283,338,428,53.869316544282476
84,202,1290,344,441,52.686008478718335
85,204,1305,349,452,52.05887051920071
86,200,1324,360,458,52.99656922118424
87,202,1338,364,466,52.220695119764855
88,196,1346,376,482,53.42516456110224
89,189,1351,387,495,53.48853864666772
90,183,1369,396,503,52.6776149403178
91,178,1383,402,510,51.39170724439599
92,178,1386,411,519,51.76072205344808
93,176,1399,417,528,51.109458687207535
94,166,1414,432,541,53.0956469841417
95,158,1432,442,552,53.75683142832268
96,161,1439,443,567,50.531545371114355
97,160,1443,448,588,48.779356610634395
98,159,1452,455,595,48.76341108445931
99,158,1455,462,615,49.6178199849802
100,153,1473,470,623,48.528456902196076
101,148,1480,481,632,50.070883482583504
102,143,1485,488,644,49.16772829160926
103,146,1483,491,663,49.19107196127365
104,140,1496,503,673,50.793273245837646
105,140,1502,508,686,49.82952532450326
106,137,1515,515,694,49.201474333502446
107,138,1518,519,705,46.73628651789125
108,141,1536,526,715,48.59717994467528
109,135,1546,533,726,47.685663021111694
110,129,1550,541,741,46.67567828464726
111,136,1562,543,750,47.12241217475146
112,132,1578,551,755,47.97729764857308
113,137,1589,555,765,48.06016589332001
114,128,1580,566,789,47.52601499228177
115,127,1586,574,799,48.827229198492155
116,127,1587,578,814,48.50731634101085
117,132,1606,581,823,49.22568779039326
118,132,1610,588,838,51.18599923475335
119,131,1616,597,849,53.132417579189735
120,138,1612,600,866,53.538006782699824
121,138,1620,608,869,54.79807940115642
122,140,1626,615,880,54.94568979526931
123,137,1638,623,892,55.20070669595865
124,137,1653,630,900,54.552612622607114
